epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2427.98,1.08738,0.80164,1.30887,0.66037,0.61482,0.66769,0.33097,1.80757,1.35681,1.95942,0.000715761,0.000715761,0.000715761
110,2450.59,1.09039,0.81361,1.31998,0.65249,0.65324,0.6986,0.35263,1.71851,1.32505,1.90898,0.000711059,0.000711059,0.000711059
111,2472.08,1.0811,0.80513,1.31709,0.64162,0.65179,0.67795,0.33527,1.76263,1.40714,1.96047,0.000706335,0.000706335,0.000706335
112,2494.99,1.06281,0.79015,1.31341,0.61158,0.67548,0.66911,0.33549,1.78229,1.34617,1.94818,0.000701588,0.000701588,0.000701588
113,2517.02,1.06264,0.78527,1.30832,0.66981,0.62792,0.68206,0.3417,1.73938,1.34718,1.95202,0.00069682,0.00069682,0.00069682
114,2539.19,1.0701,0.77783,1.31918,0.65478,0.62341,0.67344,0.34209,1.75458,1.36223,1.97123,0.000692031,0.000692031,0.000692031
115,2562.05,1.06654,0.78686,1.31362,0.62695,0.65577,0.68416,0.34217,1.7465,1.37043,1.93155,0.000687222,0.000687222,0.000687222
116,2583.53,1.06082,0.78109,1.30203,0.62006,0.67759,0.68534,0.33219,1.75933,1.34155,1.92955,0.000682392,0.000682392,0.000682392
117,2606.59,1.05382,0.76827,1.30429,0.66586,0.67396,0.7041,0.34638,1.79233,1.30957,1.97475,0.000677543,0.000677543,0.000677543
118,2628.32,1.05759,0.78697,1.29816,0.63436,0.678,0.67903,0.34153,1.75379,1.31642,1.94432,0.000672675,0.000672675,0.000672675
119,2651.6,1.05578,0.76631,1.30321,0.64173,0.64094,0.67161,0.3311,1.77179,1.34797,1.96647,0.000667789,0.000667789,0.000667789
120,2674.08,1.04965,0.78087,1.29514,0.69401,0.66598,0.70098,0.34521,1.77789,1.34548,2.01533,0.000662885,0.000662885,0.000662885
121,2696.51,1.04055,0.74951,1.2919,0.6623,0.6549,0.69939,0.35086,1.77849,1.28745,1.99987,0.000657963,0.000657963,0.000657963
122,2720,1.04744,0.76488,1.29198,0.63809,0.66201,0.69575,0.36023,1.73997,1.32579,1.95577,0.000653025,0.000653025,0.000653025
123,2741.73,1.03015,0.74636,1.27541,0.68565,0.64545,0.69406,0.34783,1.76118,1.32442,1.95113,0.000648071,0.000648071,0.000648071
124,2764.9,1.02633,0.75626,1.28033,0.65929,0.63135,0.69375,0.34927,1.77891,1.34618,1.97921,0.000643101,0.000643101,0.000643101
125,2786.51,1.02145,0.72282,1.27978,0.67739,0.64553,0.69894,0.35266,1.79139,1.29464,2.00398,0.000638115,0.000638115,0.000638115
126,2809.72,1.0333,0.73938,1.27817,0.66613,0.62052,0.65878,0.3321,1.78172,1.38259,2.00342,0.000633115,0.000633115,0.000633115
127,2831.85,1.01033,0.72473,1.26661,0.68602,0.60746,0.68473,0.35293,1.75147,1.3357,1.95965,0.000628101,0.000628101,0.000628101
128,2854.55,1.0172,0.73002,1.27702,0.65205,0.65412,0.6847,0.3414,1.78909,1.32358,2.00056,0.000623074,0.000623074,0.000623074
129,2877.73,1.00056,0.71472,1.26075,0.61298,0.64019,0.66426,0.32792,1.78759,1.38683,2.02618,0.000618034,0.000618034,0.000618034
